state,parliament,dun
Pulau Pinang,P.047 Nibong Tebal,N.21 Sungai Acheh
Pulau Pinang,P.048 Bukit Bendera,N.22 Tanjong Bunga
Pulau Pinang,P.048 Bukit Bendera,N.23 Air Putih
Pulau Pinang,P.048 Bukit Bendera,N.24 Kebun Bunga
Pulau Pinang,P.048 Bukit Bendera,N.25 Pulau Tikus
Pulau Pinang,P.049 Tanjong,N.26 Padang Kota
Pulau Pinang,P.049 Tanjong,N.27 Pengkalan Kota
Pulau Pinang,P.049 Tanjong,N.28 Komtar
Pulau Pinang,P.050 Jelutong,N.29 Datok Keramat
Pulau Pinang,P.050 Jelutong,N.30 Sungai Pinang
Pulau Pinang,P.050 Jelutong,N.31 Batu Lancang
Pulau Pinang,P.051 Bukit Gelugor,N.32 Seri Delima
Pulau Pinang,P.051 Bukit Gelugor,N.33 Air Itam
Pulau Pinang,P.051 Bukit Gelugor,N.34 Paya Terubong
Pulau Pinang,P.052 Bayan Baru,N.35 Batu Uban
Pulau Pinang,P.052 Bayan Baru,N.36 Pantai Jerejak
Pulau Pinang,P.052 Bayan Baru,N.37 Batu Maung
Pulau Pinang,P.053 Balik Pulau,N.38 Bayan Lepas
Pulau Pinang,P.053 Balik Pulau,N.39 Pulau Betong
Pulau Pinang,P.053 Balik Pulau,N.40 Telok Bahang
Perak,P.054 Gerik,N.01 Pengkalan Hulu
Perak,P.054 Gerik,N.02 Temenggor
Perak,P.055 Lenggong,N.03 Kenering
Perak,P.055 Lenggong,N.04 Kota Tampan
Perak,P.056 Larut,N.05 Selama
Perak,P.056 Larut,N.06 Kubu Gajah
Perak,P.056 Larut,N.07 Batu Kurau
Perak,P.057 Parit Buntar,N.08 Titi Serong
Perak,P.057 Parit Buntar,N.09 Kuala Kurau
Perak,P.058 Bagan Serai,N.10 Alor Pongsu
Perak,P.058 Bagan Serai,N.11 Gunong Semanggol
Perak,P.058 Bagan Serai,N.12 Selinsing
Perak,P.059 Bukit Gantang,N.13 Kuala Sepetang
Perak,P.059 Bukit Gantang,N.14 Changkat Jering
Perak,P.059 Bukit Gantang,N.15 Trong
Perak,P.060 Taiping,N.16 Kamunting
Perak,P.060 Taiping,N.17 Pokok Assam
Perak,P.060 Taiping,N.18 Aulong
Perak,P.061 Padang Rengas,N.19 Chenderoh
Perak,P.061 Padang Rengas,N.20 Lubok Merbau
Perak,P.062 Sungai Siput,N.21 Lintang
Perak,P.062 Sungai Siput,N.22 Jalong
Perak,P.063 Tambun,N.23 Manjoi
Perak,P.063 Tambun,N.24 Hulu Kinta
Perak,P.064 Ipoh Timor,N.25 Canning
Perak,P.064 Ipoh Timor,N.26 Tebing Tinggi
Perak,P.064 Ipoh Timor,N.27 Pasir Pinji
Perak,P.065 Ipoh Barat,N.28 Bercham
Perak,P.065 Ipoh Barat,N.29 Kepayang
Perak,P.065 Ipoh Barat,N.30 Buntong
Perak,P.066 Batu Gajah,N.31 Jelapang
Perak,P.066 Batu Gajah,N.32 Menglembu
Perak,P.066 Batu Gajah,N.33 Tronoh
Perak,P.067 Kuala Kangsar,N.34 Bukit Chandan
Perak,P.067 Kuala Kangsar,N.35 Manong
Perak,P.068 Beruas,N.36 Pengkalan Baharu
Perak,P.068 Beruas,N.37 Pantai Remis
Perak,P.068 Beruas,N.38 Astaka
Perak,P.069 Parit,N.39 Belanja
Perak,P.069 Parit,N.40 Bota
